id,type,title,year,publisher_or_authors,url,how_used,limitations
S01,dataset,Anthropic Economic Index Dataset,2025,Anthropic,https://huggingface.co/datasets/Anthropic/EconomicIndex,"Claude.ai Free/Pro country-level usage_count proxy; used as one observable regional usage signal.","Provider-specific; undercovers China/domestic MaaS and non-Claude traffic."
S02,report,Anthropic Economic Index,2025,Anthropic,https://www.anthropic.com/economic-index,"Context for Claude.ai usage and task-level AI adoption.","Provider-specific and not a market-wide token ledger."
S03,working_paper,Who on Earth Is Using Generative AI? Global Trends and Shifts in 2025,2025,World Bank,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099856110152535288,"Country and regional GenAI web traffic observations, including ChatGPT and China-local tools.","Traffic visits are not API tokens; web/app panel coverage varies by country."
S04,data_package,World Bank GenAI Traffic Reproducibility Package,2025,World Bank,https://reproducibility.worldbank.org/catalog/332,"Reproducibility context for the World Bank GenAI traffic paper.","Requires interpretation before regional aggregation."
S05,report,Global AI Adoption 2025 / AI Diffusion Report,2025,Microsoft AI Economy Institute,https://www.microsoft.com/en-us/corporate-responsibility/topics/AI-Economy-Institute/reports/Global-AI-Adoption-2025/,"Global AI usage diffusion and country-level adoption contrast.","Measures diffusion/adoption, not LLM API token volume."
S06,government_stat,57th Statistical Report on China's Internet Development,2026,CNNIC / State Council summary,https://english.www.gov.cn/archive/statistics/202602/05/content_WS698442cac6d00ca5f9a08edc.html,"China AI product user scale; used to correct East Asia undercoverage.","Counts AI product users, not per-user token consumption."
S07,report,Generative AI Patent Landscape Report,2024,WIPO,https://www.wipo.int/web-publications/patent-landscape-report-generative-artificial-intelligence-genai/en/,"Supply-side and innovation proxy; China/US/East Asia patent concentration.","Patent volume is not runtime demand."
S08,report,2025 AI Index Report,2025,Stanford HAI,https://hai.stanford.edu/ai-index/2025-ai-index-report,"AI investment, notable models, compute, adoption and country comparisons.","Broad AI signal, not LLM API traffic only."
S09,dataset_tool,Global AI Vibrancy Tool,2025,Stanford AI Index,https://aiindex.stanford.edu/vibrancy/,"Country-level AI ecosystem strength and readiness proxy.","Composite index methodology differs from token-demand proxy."
S10,index,Government AI Readiness Index,2024,Oxford Insights,https://oxfordinsights.com/ai-readiness/ai-readiness-index/,"Public-sector readiness and governance proxy for regulated AI deployment.","Government readiness does not equal private token usage."
S11,statistics,Facts and Figures 2025,2025,International Telecommunication Union,https://www.itu.int/itu-d/reports/statistics/facts-figures-2025/,"Connectivity and digital-divide baseline for demand ceiling/floor.","Internet adoption is only a precondition, not GenAI demand."
S12,industry_report,The State of AI: How Organizations Are Rewiring to Capture Value,2025,McKinsey,https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai,"Enterprise adoption and agentic AI scaling context.","Survey-based; not region-token metering."
S13,academic_paper,FrugalGPT: How to Use Large Language Models While Reducing Cost and Improving Performance,2023,Chen et al.,https://arxiv.org/abs/2305.05176,"Justifies routing/cascade as cost-quality gateway logic.","Algorithmic evidence; no regional demand estimate."
S14,academic_paper,RouteLLM: Learning to Route LLMs with Preference Data,2024,Ong et al.,https://arxiv.org/abs/2406.18665,"Supports task-aware model routing.","Routing benchmark evidence, not market sizing."
S15,academic_paper,Efficient Memory Management for LLM Serving with PagedAttention,2023,Kwon et al.,https://arxiv.org/abs/2309.06180,"Serving-side capacity and inference infrastructure context.","System paper, not demand report."
