project,repo,issue_number,author,title,state,opened_or_updated,primary_category,secondary_tags,build_locus,relevance_to_l3,sampled_query,source_url,evidence_type
APIPark,APIParkLab/APIPark,438,ccly1996,bug: 项目在离线网络环境下部署失败，有无离线部署教程,open,"Apr 10, 2026",deployment_ops,deployment_ops,community_build_in,low,recent,https://github.com/APIParkLab/APIPark/issues/438,exact_issue_html
APIPark,APIParkLab/APIPark,428,SamCheng0717,feat: 希望增加请求日志归档功能,open,"Feb 9, 2026",logging_audit_cost,logging_audit_cost,self_operated,high,recent,https://github.com/APIParkLab/APIPark/issues/428,exact_issue_html
APIPark,APIParkLab/APIPark,427,alexmelt2582,help request: 本地模型发布后，在调用的时候，非流式返回内容为空，流式正常,open,"Jan 29, 2026",streaming_protocol_parity,streaming_protocol_parity,community_build_in,medium,recent,https://github.com/APIParkLab/APIPark/issues/427,exact_issue_html
APIPark,APIParkLab/APIPark,437,Yoodanet-c,help request: API 参数无法维护,closed,"Apr 27, 2026",provider_adapter_schema,provider_adapter_schema,community_build_in,medium,recent,https://github.com/APIParkLab/APIPark/issues/437,exact_issue_html
APIPark,APIParkLab/APIPark,434,1079870326,Bug Report: APIpark Gateway 504 Timeout Issue,open,"Mar 19, 2026",reliability_routing_key,reliability_routing_key,self_operated,medium,recent,https://github.com/APIParkLab/APIPark/issues/434,exact_issue_html
APIPark,APIParkLab/APIPark,433,zrunh19,help request: 自定义的rest openAPI访问问题,open,"Mar 19, 2026",provider_adapter_schema,provider_adapter_schema,community_build_in,medium,recent,https://github.com/APIParkLab/APIPark/issues/433,exact_issue_html
APIPark,APIParkLab/APIPark,432,Yoodanet-c,help request: 使用 Docker-Compose部署 失败,closed,"Mar 24, 2026",deployment_ops,deployment_ops,community_build_in,low,recent,https://github.com/APIParkLab/APIPark/issues/432,exact_issue_html
APIPark,APIParkLab/APIPark,430,alexmelt2582,bug: 添加自定义供应商之后，删除时Apinto未关联删除,open,"Mar 10, 2026",provider_adapter_schema,provider_adapter_schema,community_build_in,medium,recent,https://github.com/APIParkLab/APIPark/issues/430,exact_issue_html
Bifrost,maximhq/bifrost,3719,qixiangyang,[Bug]: HTTP access log accidentally disabled in CorsMiddleware since transports/v1.5.3,open,"May 25, 2026",logging_audit_cost,logging_audit_cost,self_operated,high,recent,https://github.com/maximhq/bifrost/issues/3719,exact_issue_html
Bifrost,maximhq/bifrost,3710,ashish-tandon,[Bug]: Custom OpenAI-compatible providers with non-/v1 API paths are unroutable — request_path_overrides ignored,open,"May 23, 2026",provider_adapter_schema,provider_adapter_schema,community_build_in,medium,recent,https://github.com/maximhq/bifrost/issues/3710,exact_issue_html
Bifrost,maximhq/bifrost,3701,priyankushdeka,[Feature]: Automatic retry req with different api key,open,"May 23, 2026",reliability_routing_key,reliability_routing_key,self_operated,medium,recent,https://github.com/maximhq/bifrost/issues/3701,exact_issue_html
Bifrost,maximhq/bifrost,3696,michaelmanly,[Feature]: Make retry backoff context-aware and honor Retry-After for rate limits,open,"May 22, 2026",agent_context_state,"agent_context_state,reliability_routing_key",mixed,high,recent,https://github.com/maximhq/bifrost/issues/3696,exact_issue_html
Bifrost,maximhq/bifrost,3688,hoodunit,"[Bug]: Bedrock provider emits reasoning after tool use in assistant content, breaking Anthropic multi-turn tool-use with extended thinking",open,"May 22, 2026",provider_adapter_schema,"streaming_protocol_parity,agent_context_state,provider_adapter_schema",community_build_in,medium,recent,https://github.com/maximhq/bifrost/issues/3688,exact_issue_html
Bifrost,maximhq/bifrost,3667,imblowsnow,[Bug Report] /anthropic/v1/messages?beta=true indicates unauthorized.,open,"May 21, 2026",security_guardrails,security_guardrails,self_operated,high,recent,https://github.com/maximhq/bifrost/issues/3667,exact_issue_html
Bifrost,maximhq/bifrost,3666,imblowsnow,[Bug Report] Why is there no model price?,open,"May 21, 2026",logging_audit_cost,"logging_audit_cost,provider_adapter_schema",self_operated,high,recent,https://github.com/maximhq/bifrost/issues/3666,exact_issue_html
Bifrost,maximhq/bifrost,3663,imblowsnow,[Bug Report] There is a problem with the provider alias.,open,"May 21, 2026",provider_adapter_schema,provider_adapter_schema,community_build_in,medium,recent,https://github.com/maximhq/bifrost/issues/3663,exact_issue_html
Envoy AI Gateway,envoyproxy/ai-gateway,2151,fdaforno,"anthropic→openai translator: response surfaced as HTTP 500 (empty body) when upstream returns OpenAI error with numeric ""code""",open,"May 21, 2026",provider_adapter_schema,"streaming_protocol_parity,provider_adapter_schema",community_build_in,medium,recent,https://github.com/envoyproxy/ai-gateway/issues/2151,exact_issue_html
Envoy AI Gateway,envoyproxy/ai-gateway,2150,kanurag94,MCPRoute controller mints one redundant mcp-proxy Backend per route — consider sharing one,open,"May 21, 2026",agent_context_state,agent_context_state,mixed,high,recent,https://github.com/envoyproxy/ai-gateway/issues/2150,exact_issue_html
Envoy AI Gateway,envoyproxy/ai-gateway,2149,sriyer,SSE parser silently drops fields when colon is not followed by a space,open,"May 20, 2026",streaming_protocol_parity,"streaming_protocol_parity,agent_context_state",community_build_in,medium,recent,https://github.com/envoyproxy/ai-gateway/issues/2149,exact_issue_html
Envoy AI Gateway,envoyproxy/ai-gateway,2145,walsm232,bug: MCP session encryption seed is exposed as plaintext in controller Deployment args,open,"May 19, 2026",agent_context_state,"agent_context_state,deployment_ops",mixed,high,recent,https://github.com/envoyproxy/ai-gateway/issues/2145,exact_issue_html
